protocol_type,service,flag,src_bytes,dst_bytes,hot,count,srv_count,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_serror_rate,class
icmp,50,1,0,0,0,2,1,1,255,1,0,0.31,0.28,0,anomaly
udp,12,2,45,45,0,181,181,0,255,250,0.98,0.01,0,0,normal
udp,50,2,105,147,0,2,2,0,41,5,0.12,0.05,0.05,0,normal
udp,12,2,43,43,0,122,202,0,255,255,1,0,0.01,0,normal
icmp,59,4,0,0,0,205,17,0.06,255,17,0.07,0.07,0,1,anomaly
icmp,25,2,324,2302,0,22,28,0,255,255,1,0,0,0,normal
icmp,67,4,0,0,0,228,13,0.07,255,13,0.05,0.07,0,1,anomaly
icmp,20,4,0,0,0,50,11,0.08,255,63,0.25,0.02,0.01,1,anomaly
icmp,3,4,0,0,0,262,12,0.06,255,9,0.04,0.07,0,1,anomaly
icmp,55,2,1591,372,0,1,2,0,181,147,0.81,0.02,0.01,0,normal
udp,45,2,146,105,0,4,2,0.5,255,2,0.01,0.66,0.99,0,normal
icmp,25,2,290,3006,0,11,11,0,255,255,1,0,0,0,normal
icmp,8,4,0,0,0,108,11,0.08,255,11,0.04,0.07,0,1,anomaly
udp,50,2,28,0,0,80,80,0,255,80,0.31,0.02,0.31,0,anomaly
icmp,25,2,255,861,0,44,44,0,255,255,1,0,0,0,normal
icmp,20,2,334,0,0,2,2,0,4,38,1,0,1,0,anomaly
icmp,20,4,0,0,0,258,17,0.05,255,5,0.02,0.07,0,1,anomaly
icmp,25,2,302,498,0,10,10,0,131,255,1,0,0.01,0,normal
icmp,50,1,0,0,0,61,4,0.1,255,4,0.02,0.08,0,0,anomaly
udp,50,2,28,0,0,2,2,0,255,2,0.01,0.02,0.01,0,anomaly
icmp,25,2,220,1398,0,26,42,0,26,255,1,0,0.04,0,normal
udp,12,2,43,69,0,120,120,0,255,245,0.96,0.01,0.01,0,normal
udp,12,2,44,133,0,73,75,0,122,212,0.88,0.02,0.88,0,normal
tcp,15,2,8,0,0,1,15,0,2,46,1,0,1,0,anomaly
icmp,67,4,0,0,0,135,9,0.06,255,11,0.04,0.07,0,1,anomaly
icmp,19,4,0,0,0,24,12,0.08,255,59,0.23,0.04,0,1,anomaly
udp,12,2,43,43,0,148,228,0,255,255,1,0,0.01,0,normal
icmp,20,2,641,0,0,2,2,0,175,48,0.25,0.02,0.25,0,normal
icmp,50,1,0,0,0,206,4,0.06,255,4,0.02,0.08,0,0,anomaly
icmp,50,1,0,0,0,175,1,1,255,1,0,0.84,0,0.07,anomaly
icmp,25,2,310,2794,0,4,4,0,255,255,1,0,0,0,normal
icmp,50,1,0,0,0,63,10,0.08,255,10,0.04,0.07,0,0,anomaly
icmp,55,2,696,333,0,1,1,0,109,133,0.39,0.04,0.01,0,normal
icmp,38,5,0,0,0,1,1,0,236,1,0,0.58,0.58,0,anomaly
icmp,25,4,0,0,0,52,19,0.08,255,67,0.26,0.02,0,1,anomaly
icmp,38,1,0,0,0,125,7,0.06,255,6,0.02,0.07,0,0,anomaly
icmp,59,4,0,0,0,168,21,0.06,255,21,0.08,0.06,0,1,anomaly
icmp,25,2,221,2878,0,1,1,0,21,58,1,0,0.05,0,normal
icmp,50,4,0,0,0,145,16,0.06,255,31,0.12,0.05,0,1,anomaly
tcp,66,2,181,0,0,3,2,0.67,255,93,0.36,0.01,0.46,0,normal
udp,12,2,42,42,0,9,14,0,84,83,0.99,0.02,0.01,0,normal
icmp,50,4,0,0,0,138,6,0.06,255,6,0.02,0.07,0,1,anomaly
icmp,20,2,12,0,0,1,1,0,44,47,0.55,0.07,0.55,0,normal
icmp,5,4,0,0,0,276,9,0.06,255,9,0.04,0.06,0,1,anomaly
icmp,25,2,210,2790,0,10,27,0,48,255,1,0,0.02,0,normal
icmp,25,2,321,5683,0,10,10,0,168,255,1,0,0.01,0,normal
icmp,50,1,0,0,0,248,8,0.06,255,8,0.03,0.07,0,0,anomaly
icmp,25,2,329,3982,0,2,31,0,24,255,1,0,0.04,0,normal
icmp,67,1,0,0,0,135,7,0.07,255,7,0.03,0.07,0,0,anomaly
icmp,12,4,0,0,0,220,19,0.05,255,2,0.01,0.07,0,1,anomaly
tcp,15,2,8,0,0,1,44,0,1,95,1,0,1,0,anomaly
icmp,25,2,320,379,0,9,9,0,123,255,1,0,0.01,0,normal
icmp,50,4,0,0,0,212,7,0.05,72,7,0.1,0.11,0.01,0.97,anomaly
icmp,25,2,225,3762,0,10,10,0,255,255,1,0,0,0,normal
icmp,20,4,0,0,0,250,13,0.06,255,1,0,0.07,0,1,anomaly
icmp,50,1,0,0,0,132,15,0.05,255,15,0.06,0.06,0,0,anomaly
udp,45,2,146,105,0,3,2,0.67,117,2,0.02,0.54,0.78,0,normal
icmp,25,2,247,1416,0,11,11,0,156,255,1,0,0.01,0,normal
icmp,25,2,353,1483,0,3,9,0,255,255,1,0,0,0,normal
udp,12,2,44,44,0,109,189,0.02,255,254,1,0.01,0.01,0,normal
icmp,50,1,0,0,0,146,18,0.05,255,10,0.04,0.08,0,0,anomaly
icmp,8,4,0,0,0,300,6,0.06,255,3,0.01,0.07,0,1,anomaly
icmp,55,2,3065,331,0,1,2,0,243,119,0.48,0.02,0,0.01,normal
udp,45,2,102,102,0,1,1,0,7,1,0.14,0.29,0.14,0,normal
icmp,25,2,259,750,0,4,5,0,4,255,1,0,0.25,0,normal
udp,45,2,147,105,0,2,2,0,255,2,0.01,0.42,0.86,0,normal
icmp,50,4,0,0,0,129,16,0.05,255,12,0.05,0.05,0,1,anomaly
icmp,25,2,0,354,0,32,32,0,255,255,1,0,0,0,normal
icmp,25,2,309,306,0,1,1,0,66,255,1,0,0.02,0,normal
icmp,25,1,0,0,0,1,2,0,1,247,1,0,1,0,normal
icmp,25,2,278,7227,0,3,3,0,153,255,1,0,0.01,0,normal
udp,50,2,28,0,0,82,82,0,255,182,0.71,0.29,0.71,0.09,anomaly
icmp,25,2,313,761,0,1,1,0,43,255,1,0,0.02,0,normal
icmp,25,2,219,1212,0,15,15,0,242,255,1,0,0,0,normal
icmp,25,2,245,9165,0,2,3,0,10,255,1,0,0.1,0,normal
icmp,25,2,328,2243,0,21,21,0,21,255,1,0,0.05,0,normal
icmp,25,1,0,0,0,1,1,0,23,249,1,0,0.04,0,normal
icmp,25,2,251,301,0,3,7,0,255,252,0.99,0.01,0,0,normal
icmp,55,2,2089,335,0,2,2,1,255,152,0.6,0.03,0,0.01,normal
icmp,25,1,0,0,0,1,1,0,6,255,1,0,0.17,0,normal
icmp,25,2,237,511,0,1,1,0,3,255,1,0,0.33,0,normal
icmp,25,2,324,431,0,4,5,0,107,255,1,0,0.01,0,normal
icmp,50,5,1,0,0,2,2,0,255,2,0.01,0.69,1,0,anomaly
icmp,3,1,0,0,0,110,17,0.05,255,17,0.07,0.07,0,0,anomaly
udp,50,2,105,145,0,4,1,0.5,255,239,0.94,0.01,0,0,normal
icmp,25,2,218,974,0,6,6,0,6,255,1,0,0.17,0,normal
icmp,25,2,325,2649,0,7,7,0,107,255,1,0,0.01,0,normal
icmp,67,1,0,0,0,246,20,0.07,255,20,0.08,0.07,0,0,anomaly
icmp,6,1,0,0,0,272,19,0.07,255,19,0.07,0.08,0,0,anomaly
icmp,8,4,0,0,0,259,8,0.07,255,8,0.03,0.08,0,1,anomaly
icmp,25,2,328,275,0,9,10,0,255,250,0.98,0.01,0,0,normal
icmp,6,4,0,0,0,294,6,0.05,255,8,0.03,0.07,0,1,anomaly
icmp,19,2,9,138,0,1,1,0,195,10,0.03,0.03,0.01,0.01,normal
udp,12,2,46,46,0,96,178,0,255,254,1,0.01,0.01,0,normal
icmp,55,2,1079,334,0,1,1,0,138,167,0.57,0.03,0.01,0,normal
udp,12,2,45,139,0,79,159,0,255,254,1,0.01,0,0,normal
icmp,20,2,273,903,5,1,1,0,176,49,0.28,0.02,0.01,0.01,normal
icmp,50,4,0,0,0,190,20,0.06,255,20,0.08,0.08,0,1,anomaly
icmp,33,1,0,0,0,135,5,0.06,255,1,0,0.07,0,0,anomaly
icmp,25,2,237,138,0,2,2,0,2,2,1,0,0.5,0,normal
icmp,25,2,225,1357,0,1,1,0,5,255,1,0,0.2,0,normal
icmp,50,4,0,0,0,123,7,0.06,255,7,0.03,0.08,0,1,anomaly
icmp,59,4,0,0,0,245,20,0.06,255,7,0.03,0.07,0,1,anomaly
udp,45,2,147,0,0,3,1,0.67,255,1,0,0.61,0.97,0,normal
icmp,25,2,262,1011,0,3,4,0,94,255,1,0,0.02,0,normal
tcp,16,2,1032,0,0,263,263,0,255,255,1,0,1,0,anomaly
icmp,50,4,0,0,0,109,13,0.06,255,7,0.03,0.06,0,1,anomaly
icmp,25,2,261,8412,0,9,9,0,255,255,1,0,0,0,normal
icmp,6,1,0,0,0,145,8,0.08,255,8,0.03,0.09,0,0,anomaly
icmp,38,1,0,0,0,250,2,0.07,255,2,0.01,0.07,0,0,anomaly
icmp,25,2,294,1719,0,8,8,0,108,255,1,0,0.01,0,normal
icmp,25,2,221,981,0,2,3,0,50,82,1,0,0.02,0,normal
icmp,25,2,284,10352,0,2,2,0,11,255,1,0,0.09,0,normal
icmp,22,6,0,0,0,1,1,0,255,1,0,1,1,1,anomaly
icmp,25,2,309,16096,0,3,3,0,31,129,1,0,0.03,0,normal
icmp,20,2,334,0,0,2,2,0,6,26,1,0,1,0,anomaly
icmp,61,4,0,0,0,13,4,0.31,255,64,0.25,0.02,0.01,1,anomaly
icmp,50,4,0,0,0,87,1,0.07,255,1,0,0.06,0,1,anomaly
icmp,25,2,214,283,0,2,2,0,27,255,1,0,0.04,0,normal
icmp,69,4,0,0,0,292,13,0.05,255,14,0.05,0.08,0,1,anomaly
icmp,60,4,0,0,0,295,18,0.05,255,1,0,0.08,0,1,anomaly
icmp,25,4,0,0,0,143,15,0.06,255,15,0.06,0.05,0,1,anomaly
udp,12,2,46,78,0,278,277,0.01,255,254,1,0.01,0,0,normal
icmp,20,2,748,0,0,1,1,0,6,92,0.83,0.33,0.83,0,normal
icmp,17,4,0,0,0,102,19,0.06,255,18,0.07,0.06,0,1,anomaly
tcp,15,2,8,0,0,1,46,0,1,15,1,0,1,0,anomaly
icmp,70,4,0,0,0,251,3,0.07,255,3,0.01,0.08,0,1,anomaly
icmp,25,2,329,8437,0,4,4,0,83,255,1,0,0.01,0,normal
icmp,20,2,9,0,0,2,2,0,185,119,0.5,0.38,0.5,0,normal
udp,12,2,46,128,0,222,302,0,255,253,0.99,0.01,0,0,normal
icmp,20,2,1766,0,0,2,2,0,255,6,0.02,0.02,0.02,0,normal
icmp,52,4,0,0,0,260,4,0.06,255,4,0.02,0.07,0,1,anomaly
icmp,45,5,1,0,0,2,2,0,255,2,0.01,0.74,1,0,anomaly
icmp,19,2,8,135,0,1,1,0,196,6,0.03,0.03,0.01,0,normal
icmp,25,2,266,529,0,1,6,0,94,255,1,0,0.01,0,normal
icmp,20,2,245,0,0,3,2,0.67,99,68,0.32,0.06,0.32,0,normal
icmp,25,2,295,465,0,11,12,0,69,255,1,0,0.01,0,normal
icmp,22,4,0,0,0,44,12,0.11,255,12,0.05,0.08,0,1,anomaly
icmp,25,2,228,6834,0,2,7,0,18,19,1,0,0.06,0,normal
tcp,16,2,1032,0,0,511,511,0,255,212,0.83,0.02,0.83,0,anomaly
icmp,29,1,0,0,0,272,15,0.06,255,15,0.06,0.07,0,0,anomaly
icmp,50,4,0,0,0,122,19,0.07,255,19,0.07,0.05,0,1,anomaly
icmp,70,4,0,0,0,287,3,0.05,255,3,0.01,0.05,0,1,anomaly
icmp,25,1,0,0,0,1,3,0,118,195,1,0,0.01,0,normal
icmp,45,1,0,0,0,486,1,0.95,255,1,0,0.91,0,0.11,anomaly
udp,45,2,1,0,0,22,6,0.09,255,6,0.02,0.06,1,0,anomaly
icmp,30,4,0,0,0,286,9,0.06,255,11,0.04,0.07,0,1,anomaly
tcp,16,2,30,0,0,1,1,0,247,247,1,0,1,0,normal
icmp,55,2,2078,333,0,1,2,0,89,117,0.31,0.03,0.01,0,normal
icmp,20,2,19,0,0,1,1,0,201,5,0.02,0.04,0.02,0,normal
icmp,55,2,661,329,0,1,1,0,163,69,0.36,0.02,0.01,0,normal
udp,50,2,28,0,0,35,34,0.06,255,34,0.13,0.02,0.13,0,anomaly
icmp,20,4,0,0,0,28,2,0.14,255,42,0.16,0.03,0,1,anomaly
icmp,50,4,0,0,0,108,18,0.07,255,18,0.07,0.07,0,1,anomaly
icmp,50,4,0,0,0,101,5,0.06,255,15,0.06,0.07,0,1,anomaly
icmp,55,2,1075,364,0,1,2,0,255,100,0.39,0.17,0,0,normal
icmp,25,2,223,656,0,12,21,0,172,255,1,0,0.01,0,normal
icmp,20,2,350,1185,6,1,2,0,255,142,0.56,0.02,0,0,anomaly
icmp,25,2,233,2470,0,10,10,0,32,255,1,0,0.03,0,normal
icmp,50,4,0,0,0,223,10,0.07,255,9,0.04,0.05,0,1,anomaly
icmp,14,4,0,0,0,223,17,0.06,255,17,0.07,0.06,0,1,anomaly
icmp,25,2,201,1938,0,19,34,0,44,255,1,0,0.02,0,normal
icmp,25,2,271,4781,0,4,7,0,11,28,1,0,0.09,0,normal
icmp,20,2,14416,0,0,1,1,0,205,50,0.19,0.02,0.19,0,normal
icmp,25,2,227,11564,0,5,6,0,41,52,1,0,0.02,0,normal
icmp,50,1,0,0,0,406,1,0.52,255,1,0,0.52,1,0,anomaly
icmp,25,2,225,2445,0,4,5,0,255,255,1,0,0,0,normal
icmp,25,2,176,426,0,6,6,0,255,255,1,0,0,0,normal
icmp,31,4,0,0,0,143,14,0.06,255,14,0.05,0.06,0,1,anomaly
icmp,25,2,227,762,0,17,17,0,202,255,1,0,0,0,normal
icmp,55,2,855,575,0,1,1,0,255,20,0.08,0.02,0,0,normal
icmp,55,2,944,330,0,1,1,0,214,166,0.63,0.02,0,0,normal
icmp,55,2,954,326,0,2,1,1,28,104,0.71,0.11,0.04,0,normal
icmp,67,4,0,0,0,201,18,0.06,255,18,0.07,0.07,0,1,anomaly
icmp,25,2,166,34660,0,1,1,0,16,255,1,0,0.06,0,normal
icmp,25,2,306,2698,0,4,5,0,255,240,0.94,0.01,0,0,normal
icmp,39,4,0,0,0,124,19,0.05,255,19,0.07,0.05,0,1,anomaly
icmp,50,1,0,0,0,162,1,1,255,1,0,0.8,0,0.03,anomaly
tcp,16,2,1480,0,0,2,4,0,2,38,1,0,1,0,anomaly
icmp,30,4,0,0,0,277,17,0.05,255,17,0.07,0.07,0,1,anomaly
icmp,25,2,313,8549,0,4,4,0,255,255,1,0,0,0,normal
icmp,34,4,0,0,0,274,22,0.05,255,22,0.09,0.05,0,1,anomaly
icmp,58,4,0,0,0,141,12,0.06,255,16,0.06,0.06,0,1,anomaly
icmp,25,2,285,6008,0,3,3,0,128,255,1,0,0.01,0,normal
icmp,25,2,226,1411,0,8,23,0,37,255,1,0,0.03,0,normal
icmp,25,2,256,12984,0,1,1,0,34,255,1,0,0.03,0,normal
icmp,55,2,3740,449,0,1,3,0,193,185,0.68,0.02,0.01,0,normal
icmp,25,2,224,449,0,10,11,0,39,255,1,0,0.03,0.03,normal
icmp,35,4,0,0,0,103,3,0.07,255,3,0.01,0.07,0,1,anomaly
icmp,20,2,832,0,0,1,1,0,3,28,1,0,1,0,anomaly
icmp,19,4,0,0,0,246,20,0.06,255,20,0.08,0.07,0,1,anomaly
tcp,15,2,8,0,0,1,50,0,1,25,1,0,1,0,anomaly
icmp,25,2,201,169,0,7,7,0,29,255,1,0,0.03,0.03,normal
icmp,25,2,285,304,0,32,34,0,101,255,1,0,0.01,0,normal
icmp,32,4,0,0,0,125,24,0.05,255,24,0.09,0.05,0,1,anomaly
icmp,20,2,7422,0,0,8,8,0,255,44,0.17,0.02,0.17,0,normal
icmp,25,2,198,12884,0,2,2,0,2,2,1,0,0.5,0,normal
icmp,55,2,2310,328,0,1,3,0,255,157,0.62,0.02,0,0,normal
icmp,25,2,331,955,0,6,6,0,38,255,1,0,0.03,0,normal
tcp,66,2,65,0,0,9,2,0.22,255,16,0.06,0.01,0.06,0,normal
udp,50,2,28,0,0,4,4,0,255,71,0.28,0.01,0.28,0,anomaly
udp,12,2,45,77,0,171,173,0,255,232,0.91,0.01,0,0,normal
icmp,20,3,0,0,0,250,3,0.06,255,3,0.01,0.07,0,0,anomaly
icmp,5,4,0,0,0,238,7,0.07,255,7,0.03,0.07,0,1,anomaly
icmp,32,4,0,0,0,102,2,0.07,255,2,0.01,0.06,0,1,anomaly
icmp,19,2,9,142,0,1,1,0,235,12,0.05,0.03,0,0,normal
icmp,25,2,283,912,0,2,2,0,75,255,1,0,0.01,0,normal
icmp,25,2,221,1789,0,2,10,0,73,255,1,0,0.01,0.01,normal
tcp,15,2,18,0,0,1,1,0,1,123,1,0,1,0,anomaly
icmp,69,4,0,0,0,281,2,0.06,255,3,0.01,0.07,0,1,anomaly
icmp,61,4,0,0,0,30,2,0.13,255,52,0.2,0.03,0,1,anomaly
icmp,20,4,0,0,0,276,8,0.06,255,8,0.03,0.06,0,1,anomaly
icmp,25,2,302,1380,0,5,5,0,212,187,0.88,0.02,0,0,normal
icmp,50,4,0,0,0,163,9,0.09,255,9,0.04,0.1,0,1,anomaly
tcp,15,2,8,0,0,1,21,0,2,60,1,0,1,0,anomaly
icmp,50,4,0,0,0,301,20,0.06,255,19,0.07,0.05,0,1,anomaly
icmp,25,2,355,870,0,28,28,0,255,255,1,0,0,0,normal
tcp,15,2,8,0,0,1,23,0,1,63,1,0,1,0,anomaly
icmp,61,2,106,1468,0,1,1,0,117,1,0.01,0.04,0.01,0,normal
icmp,25,2,286,1423,0,16,16,0,64,255,1,0,0.02,0,normal
icmp,45,5,1,0,0,2,2,0,255,2,0.01,0.74,1,0,anomaly
icmp,56,6,0,0,0,1,1,0,255,1,0,1,1,1,anomaly
tcp,16,2,1032,0,0,46,46,0,255,46,0.18,0.02,0.18,0,anomaly
icmp,25,2,168,9551,0,1,2,0,230,255,1,0,0.01,0,normal
icmp,25,2,238,864,0,39,39,0,137,255,1,0,0.01,0,normal
icmp,50,5,0,0,0,1,1,0,255,1,0,0.38,0.36,0,anomaly
icmp,25,2,291,10369,0,6,6,0,13,255,1,0,0.08,0,normal
icmp,69,4,0,0,0,211,22,0.05,255,22,0.09,0.05,0,1,anomaly
icmp,55,2,749,330,0,1,1,0,27,129,0.74,0.11,0.04,0,normal
icmp,25,2,198,6924,0,12,12,0,230,255,1,0,0,0,normal
icmp,36,1,0,0,0,280,11,0.06,255,11,0.04,0.07,0,0,anomaly
icmp,25,2,167,709,0,1,4,0,5,255,1,0,0.2,0,normal
icmp,25,2,241,851,0,17,35,0,127,255,1,0,0.01,0,normal
icmp,25,2,337,3360,0,6,6,0,255,255,1,0,0,0,normal
icmp,55,2,729,328,0,1,1,0,106,156,0.41,0.04,0.01,0,normal
tcp,15,2,8,0,0,1,44,0,1,111,1,0,1,0,anomaly
icmp,8,4,0,0,0,201,1,0.06,255,4,0.02,0.07,0,1,anomaly
icmp,25,2,222,1483,0,3,3,0,255,255,1,0,0.01,0,normal
icmp,5,1,0,0,0,276,14,0.06,255,14,0.05,0.07,0,0,anomaly
icmp,25,1,0,0,0,1,1,0,7,255,1,0,0.14,0,normal
udp,12,2,46,134,0,145,225,0,255,255,1,0,0,0,normal
icmp,25,2,246,2719,0,1,1,0,1,255,1,0,1,0,normal
icmp,25,2,222,771,0,8,8,0,45,255,1,0,0.02,0,normal
icmp,69,4,0,0,0,258,10,0.05,255,10,0.04,0.05,0,1,anomaly
icmp,50,4,0,0,0,256,12,0.06,255,10,0.04,0.07,0,1,anomaly
icmp,61,2,279,9598,0,1,1,0,251,113,0.45,0.01,0,0.8,normal
icmp,25,2,226,651,0,12,12,0,255,255,1,0,0.01,0,normal
icmp,25,2,299,447,0,26,44,0,255,255,1,0,0,0,normal
icmp,25,4,0,0,0,14,6,0.29,94,26,0.28,0.04,0.01,1,anomaly
icmp,20,2,12,0,0,2,2,0,11,88,0.36,0.27,0.36,0,normal
icmp,25,2,281,1951,0,30,31,0,77,255,1,0,0.01,0,normal
icmp,6,4,0,0,0,138,25,0.05,255,25,0.1,0.05,0,1,anomaly
udp,12,2,42,42,0,4,6,0,255,245,0.96,0.01,0.01,0,normal
icmp,20,4,0,0,0,300,7,0.06,255,7,0.03,0.07,0,1,anomaly
icmp,64,4,0,0,0,199,9,0.07,255,9,0.04,0.07,0,1,anomaly
icmp,25,2,263,453,0,15,15,0,255,255,1,0,0,0,normal
icmp,50,5,1,0,0,2,2,0,255,2,0.01,0.5,1,0,anomaly
icmp,20,3,0,0,0,1,1,0,212,43,0.2,0.02,0,0,normal
icmp,50,4,0,0,0,144,15,0.06,255,30,0.12,0.06,0,1,anomaly
icmp,56,4,0,0,0,104,4,0.07,255,18,0.07,0.07,0,1,anomaly
icmp,25,2,283,1980,0,18,18,0,18,255,1,0,0.06,0,normal
icmp,25,2,161,5530,0,2,2,0,2,255,1,0,0.5,0,normal
icmp,25,2,211,321,0,7,11,0,211,255,1,0,0,0,normal
icmp,25,2,201,1701,0,7,7,0,32,255,1,0,0.03,0,normal
tcp,15,2,8,0,0,1,25,0,4,112,1,0,1,0,anomaly
udp,45,2,147,0,0,3,1,0.67,255,1,0,0.67,0.95,0,normal
icmp,50,4,0,0,0,74,16,0.05,255,5,0.02,0.06,0,1,anomaly
icmp,20,2,567,0,0,1,1,0,53,38,0.25,0.09,0.25,0,normal
icmp,24,1,0,0,0,225,2,0.07,255,2,0.01,0.08,0,0,anomaly
icmp,61,4,0,0,0,66,16,0.09,255,52,0.2,0.04,0,1,anomaly
icmp,20,2,5131424,0,4,1,7,0,7,42,1,0,1,0,anomaly
icmp,25,2,320,420,0,7,7,0,255,255,1,0,0.01,0,normal
tcp,15,2,8,0,0,1,35,0,1,61,1,0,1,0,anomaly
icmp,55,4,0,0,0,2,2,0,160,101,0.4,0.05,0.01,0.01,normal
icmp,25,2,204,1229,0,4,4,0,54,255,1,0,0.02,0,normal
icmp,64,5,0,0,0,1,1,0,255,1,0,0.16,0.15,0,anomaly
icmp,20,2,10389,0,0,1,1,0,255,81,0.32,0.02,0.31,0,normal
icmp,67,4,0,0,0,139,13,0.06,255,13,0.05,0.07,0,1,anomaly
icmp,25,2,344,573,0,28,60,0,255,255,1,0,0,0,normal
icmp,18,3,0,0,0,144,16,0.06,255,9,0.04,0.06,0,0,anomaly
icmp,38,4,0,0,0,241,19,0.05,255,19,0.07,0.07,0,1,anomaly
icmp,25,2,243,821,0,15,19,0,107,255,1,0,0.01,0,normal
tcp,16,2,1032,0,0,213,213,0,255,255,1,0,1,0,anomaly
tcp,15,2,8,0,0,1,45,0,1,11,1,0,1,0,anomaly
icmp,50,1,0,0,0,36,1,1,255,1,0,0.47,0,0.02,anomaly
udp,50,2,105,146,0,3,2,0.67,255,239,0.94,0.01,0.01,0,normal
icmp,50,4,0,0,0,254,17,0.05,255,17,0.07,0.06,0,1,anomaly
icmp,55,2,1080,327,0,1,2,0,202,154,0.58,0.02,0,0,normal
icmp,61,4,0,0,0,295,7,0.05,255,7,0.03,0.05,0,1,anomaly
icmp,50,4,0,0,0,171,3,0.07,255,14,0.05,0.07,0,1,anomaly
icmp,3,4,0,0,0,179,2,0.06,255,5,0.02,0.07,0,1,anomaly
icmp,55,2,657,326,0,2,1,1,255,11,0.04,0.6,0,0,normal
icmp,25,4,0,0,0,101,7,0.06,255,3,0.01,0.07,0,1,anomaly
icmp,25,2,284,765,0,9,9,0,255,255,1,0,0.01,0,normal
icmp,25,2,261,15455,0,22,22,0,255,255,1,0,0,0,normal
icmp,25,2,317,315,0,1,2,0,255,255,1,0,0,0,normal
udp,12,2,33,0,0,8,8,0,255,36,0.14,0.03,0.14,0,normal
icmp,50,1,0,0,0,2,1,1,255,1,0,0.6,0.56,0.01,anomaly
icmp,50,5,0,0,0,1,1,0,255,1,0,0.64,0.64,0,anomaly
udp,12,2,44,70,0,195,197,0,255,234,0.92,0.01,0.01,0,normal
icmp,25,2,215,584,0,4,9,0,255,255,1,0,0,0,normal
icmp,50,4,0,0,0,260,9,0.07,255,7,0.03,0.07,0,1,anomaly
icmp,25,2,332,2844,0,14,14,0,142,255,1,0,0.01,0,normal
icmp,55,2,978,334,0,1,3,0,128,164,0.75,0.03,0.01,0,normal
icmp,25,2,296,5670,0,10,10,0,69,255,1,0,0.01,0,normal
icmp,61,4,0,0,0,125,13,0.06,255,8,0.03,0.07,0,1,anomaly
icmp,50,1,0,0,0,139,10,0.06,255,6,0.02,0.09,0,0,anomaly
icmp,25,2,214,9986,0,10,11,0,66,255,1,0,0.02,0,normal
icmp,50,4,0,0,0,251,7,0.07,255,2,0.01,0.07,0,1,anomaly
udp,44,2,48,48,0,1,1,0,42,23,0.55,0.05,0.55,0,normal
